City_ID,City,Latitude,Longitude,Max Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (m/sec),Country,Date
323,puerto deseado,-47.7503,-65.8938,16.16,25,75,11.76,AR,1698524039
324,lihue,21.9789,-159.3672,27.58,66,0,2.57,US,1698523917
325,save,8.0425,2.486,27.31,70,26,1.66,BJ,1698524039
326,ladek-zdroj,50.3437,16.8795,9.67,82,100,0.89,PL,1698524039
327,tupiza,-21.45,-65.7167,24.83,3,7,8.55,BO,1698524039
328,bagneres-de-bigorre,43.0667,0.15,17.83,42,0,4.63,FR,1698524039
329,bubaque,11.2833,-15.8333,27.73,76,14,4.19,GW,1698524040
330,colonia,50.9333,6.95,13.1,88,20,6.17,DE,1698523907
331,serhetabat,35.2799,62.3438,19.95,31,54,1.86,TM,1698524040
332,malmberget,67.1753,20.6549,-13.69,92,100,2.06,SE,1698524040
333,saint-philippe,-21.3585,55.7679,22.77,84,40,3.19,RE,1698524040
334,am timan,11.0297,20.2827,26.66,60,94,1.95,TD,1698524040
335,phan rang-thap cham,11.5667,108.9833,24.39,90,99,2.14,VN,1698524040
336,malvan,16.0667,73.4667,25.85,67,0,2.55,IN,1698524041
337,newman,37.3138,-121.0208,19.02,25,0,5.36,US,1698523851
338,mata-utu,-13.2816,-176.1745,27.42,81,34,6.46,WF,1698524041
339,hobyo,5.3505,48.5268,27.26,78,100,5.2,SO,1698524041
340,uliastay,47.7417,96.8444,-2.66,45,12,0.63,MN,1698524041
341,batalha,-9.6778,-37.1247,30.06,41,100,8.24,BR,1698524041
342,janeng,-25.4167,25.55,22.8,52,6,2.4,BW,1698524041
343,takaungu,-3.6837,39.8566,25.96,88,93,3.46,KE,1698524042
344,kerikeri,-35.2268,173.9474,12.73,92,100,0.89,NZ,1698524042
345,chokwe,-24.5333,32.9833,23.26,75,13,6.32,MZ,1698524042
346,salym,60.0625,71.4789,-10.0,95,40,1.05,RU,1698524042
347,demopolis,32.5176,-87.8364,26.97,47,40,2.57,US,1698524034
348,pariaman,-0.619,100.12,26.03,90,34,1.63,ID,1698524043
